ID,Name,English,On,Off,Total,Daily,Point,Address,tm2_x,tm2_y,latitude,longitude
M29,東里,Dongli,"4,549","4,109","8,658",24.0,Point (281123.39050000061979517 2574475.08999999891966581),花蓮縣富里鄉大莊路15-6號,281123.3905000006,2574475.089999999,23.272356179855244,121.30421923956246
A08,松山,Songshan,"6,503,705","6,596,869","13,100,574",35892.0,Point (308357.90699999965727329 2771347.88199999928474426),臺北市信義區永吉里松山路11號B1,308357.90699999966,2771347.8819999993,25.049164855954665,121.57836855870354
T113,松竹,Songzhu,"1,015,489","1,025,131","2,040,620",5591.0,Point (219728.11649999982910231 2675000.73530000168830156),臺中市北屯區松竹路一段1473巷100號,219728.11649999983,2675000.7353000017,24.180096159439604,120.702047852694
A13,板橋,Banqiao,"8,710,983","8,776,950","17,487,933",47912.0,Point (296853.96300000045448542 2767433.76700000092387199),新北市板橋區縣民大道二段7號,296853.96300000045,2767433.767000001,25.01422818881974,121.4642265828728
P18,枋寮,Fangliao,"424,731","401,572","826,303",2264.0,Point (208301.63770000083604828 2474368.13529999926686287),屏東縣枋寮鄉儲運路18號,208301.63770000084,2474368.1352999993,22.36808474490874,120.59509807885878
J03,枋山,Fangshan,700,906,"1,606",4.0,Point (214921.19410000072093681 2463169.55430000089108944),屏東縣獅子鄉內獅巷88號,214921.19410000072,2463169.554300001,22.26709451115077,120.65962005155086
J04,枋野,Fangye,0,0,0,0.0,Point (220858.07849999913014472 2464674.43949999986216426),屏東縣獅子鄉內獅巷88號,220858.07849999913,2464674.4395,22.280796285008275,120.71719947252635
A56,林內,Linnei,"293,980","296,808","590,788",1619.0,Point (210754.47599999979138374 2628465.60300000011920929),雲林縣林內鄉中山路42號,210754.4759999998,2628465.603,23.75971329263055,120.61497624748971
M13,林榮新光,LinrongShinKong,"10,267","10,669","20,936",57.0,Point (297098.4138000012608245 2633226.70529999863356352),花蓮縣鳳林鎮兆豐路800號,297098.41380000126,2633226.7052999986,23.802492663693286,121.4622157956578
P14,林邊,Linbian,"190,420","189,660","380,080",1041.0,Point (200096.33369999960996211 2481391.75349999964237213),屏東縣林邊鄉仁愛路33號,200096.3336999996,2481391.7534999996,22.43129676923731,120.51520455354506
A71,林鳳營,Linfengying,"199,187","197,027","396,214",1086.0,Point (180518.74239999958081171 2571309.09450000058859587),臺南市六甲區中社里林鳳營16號,180518.74239999958,2571309.0945000006,23.242593455078403,120.3210068395794
